ms12,ms16,r12,r16
Married or pacsed couple,Married or pacsed couple,49952.875,59869.273
Married or pacsed couple,Married or pacsed couple,46830.824,74836.594
Married or pacsed couple,Married or pacsed couple,53629.918,50075.441
Married or pacsed couple,Married or pacsed couple,72986.563,33746.77
Married or pacsed couple,Married or pacsed couple,76027.672,17842.801
Married or pacsed couple,Married or pacsed couple,56083.258,58195.789
Isolated parent,Isolated parent,43813.527,
Married or pacsed couple,Married or pacsed couple,75621.188,71412.523
Married or pacsed couple,Married or pacsed couple,61871.879,131426
Married or pacsed couple,Married or pacsed couple,23327.225,18196.1
Married or pacsed couple,Married or pacsed couple,79068.773,81203.422
Married or pacsed couple,Married or pacsed couple,93733.078,67052.477
Married or pacsed couple,Married or pacsed couple,76027.672,82320.25
Married or pacsed couple,Married or pacsed couple,30221.992,41922.262
Married or pacsed couple,Married or pacsed couple,46708.25,42828.074
Married or pacsed couple,Married or pacsed couple,43814.035,39061.898
Married or pacsed couple,Married or pacsed couple,75753.969,61360.828
Married or pacsed couple,Married or pacsed couple,52211.664,94221.773
Married or pacsed couple,Married or pacsed couple,64255.914,57870.273
Married or pacsed couple,Married or pacsed couple,64255.914,57870.273
Married or pacsed couple,Married or pacsed couple,55692.438,39137
Married or pacsed couple,Married or pacsed couple,39509.59,47336.059
Married or pacsed couple,Married or pacsed couple,14196.495,12400.773
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Married or pacsed couple,Isolated parent,54739.922,25122.846
Married or pacsed couple,Married or pacsed couple,65383.801,71843.125
Cohabitant,Isolated parent,48758.82,27948.174
Married or pacsed couple,Married or pacsed couple,75797.922,56128.77
Married or pacsed couple,Married or pacsed couple,52211.664,51393.695
Married or pacsed couple,Married or pacsed couple,34990.832,47199.195
Married or pacsed couple,Married or pacsed couple,76027.672,56875.809
Married or pacsed couple,Married or pacsed couple,59496.219,71685.922
Married or pacsed couple,Married or pacsed couple,28037.568,41922.262
Married or pacsed couple,Married or pacsed couple,72986.563,51428.836
Married or pacsed couple,Married or pacsed couple,45269.797,20310.557
Married or pacsed couple,Isolated parent,42062.445,17185.855
Married or pacsed couple,Married or pacsed couple,60289.5,60902.57
Married or pacsed couple,Married or pacsed couple,45092.352,37739.758
Married or pacsed couple,Married or pacsed couple,56083.258,44717.082
Isolated parent,Isolated parent,18791.373,22174.088
Isolated parent,Isolated parent,39403.941,37265.383
Married or pacsed couple,Married or pacsed couple,49286.801,31474.77
Isolated parent,Isolated parent,70997.289,45294.004
Married or pacsed couple,Married or pacsed couple,132805.19,131426
Married or pacsed couple,Married or pacsed couple,36684.141,41811.879
Married or pacsed couple,Married or pacsed couple,46830.824,67669.516
Married or pacsed couple,Married or pacsed couple,41496.34,26550.77
Married or pacsed couple,Married or pacsed couple,50474.93,51428.836
Married or pacsed couple,Married or pacsed couple,39025.684,41908.488
Married or pacsed couple,Married or pacsed couple,14749.16,14518.096
Married or pacsed couple,Cohabitant,49952.875,31870.115
,,,
Married or pacsed couple,Married or pacsed couple,46830.824,54135.617
Married or pacsed couple,Married or pacsed couple,56083.258,48909.313
Married or pacsed couple,Married or pacsed couple,56562.625,77090.531
Married or pacsed couple,Married or pacsed couple,19432.76,19789.773
Married or pacsed couple,Married or pacsed couple,51877.012,44717.082
Isolated parent,Isolated parent,20463.373,23435.258
Married or pacsed couple,Married or pacsed couple,68746.531,54135.617
Isolated parent,Isolated parent,32836.617,16768.906
Married or pacsed couple,Married or pacsed couple,53219.371,55379.078
Married or pacsed couple,Married or pacsed couple,38493.809,45923.543
Married or pacsed couple,Married or pacsed couple,50474.93,51428.836
Married or pacsed couple,Married or pacsed couple,91233.211,101777.76
Married or pacsed couple,Married or pacsed couple,42062.445,41922.262
Married or pacsed couple,Married or pacsed couple,15872.165,39058.762
Married or pacsed couple,Married or pacsed couple,41612.281,67352.93
Isolated parent,Isolated parent,27363.848,29165.363
Married or pacsed couple,Married or pacsed couple,82109.883,89803.914
Married or pacsed couple,Married or pacsed couple,15872.165,39058.762
Married or pacsed couple,Married or pacsed couple,52608.203,70879.922
Married or pacsed couple,Married or pacsed couple,98835.969,36984.277
Married or pacsed couple,Married or pacsed couple,39025.684,18521.836
Married or pacsed couple,Married or pacsed couple,42062.445,50075.441
,Married or pacsed couple,,27060.705
Married or pacsed couple,Married or pacsed couple,,33167
Cohabitant,Isolated parent,13571.849,25818.559
Married or pacsed couple,Married or pacsed couple,38245.172,41908.488
Married or pacsed couple,Married or pacsed couple,65996.672,60902.57
Married or pacsed couple,Married or pacsed couple,22173.451,30756.559
Married or pacsed couple,Married or pacsed couple,29812.641,31870.115
Married or pacsed couple,Married or pacsed couple,51445.551,52385.609
Married or pacsed couple,Isolated parent,22725.287,18496.98
Married or pacsed couple,Married or pacsed couple,40586.711,37496.414
Married or pacsed couple,Married or pacsed couple,34342.605,37496.414
Married or pacsed couple,Married or pacsed couple,38273.926,54135.617
Married or pacsed couple,Married or pacsed couple,43385.953,41256.848
Married or pacsed couple,Married or pacsed couple,31220.549,44901.957
Married or pacsed couple,Married or pacsed couple,55978.98,77830.055
Married or pacsed couple,Married or pacsed couple,24466.07,34371.711
Married or pacsed couple,Married or pacsed couple,24886.457,41922.262
Married or pacsed couple,Married or pacsed couple,99217.766,132477.52
Married or pacsed couple,Married or pacsed couple,31220.549,41811.879
Married or pacsed couple,Married or pacsed couple,47108.816,39520.582
Married or pacsed couple,Married or pacsed couple,82495.828,85263.602
Married or pacsed couple,Married or pacsed couple,59301.582,67352.93
Married or pacsed couple,Married or pacsed couple,44909.441,33167
Isolated parent,Isolated parent,28458.4,21872.908
Married or pacsed couple,Married or pacsed couple,60822.133,67352.93
Married or pacsed couple,Married or pacsed couple,34794.863,29525.65
Married or pacsed couple,Married or pacsed couple,95469.313,89803.914
Married or pacsed couple,Married or pacsed couple,,36080.734
Married or pacsed couple,Married or pacsed couple,36981.316,27377.754
Married or pacsed couple,Married or pacsed couple,61871.879,67669.516
Married or pacsed couple,Married or pacsed couple,55500.195,49539.137
Married or pacsed couple,Married or pacsed couple,22264.205,34935.219
Married or pacsed couple,Married or pacsed couple,38493.809,33217.16
Married or pacsed couple,Married or pacsed couple,95469.313,74198.063
Married or pacsed couple,Married or pacsed couple,60822.133,82320.25
Married or pacsed couple,Married or pacsed couple,69615.547,71079.648
Married or pacsed couple,Married or pacsed couple,104916.9,21535.383
Isolated parent,Married or pacsed couple,12935.502,16070.2
Married or pacsed couple,Married or pacsed couple,56083.258,62255.953
Married or pacsed couple,Married or pacsed couple,52211.664,49680.563
Married or pacsed couple,Married or pacsed couple,42147.742,34371.711
Isolated parent,Isolated parent,26181.729,12974.554
Married or pacsed couple,Married or pacsed couple,61704.063,60455.949
Isolated parent,Isolated parent,11031.154,17185.855
Married or pacsed couple,Married or pacsed couple,,
Married or pacsed couple,Married or pacsed couple,1904.6598,27948.174
Married or pacsed couple,Married or pacsed couple,31257.412,28803.359
Isolated parent,Isolated parent,16494.838,21648.563
Married or pacsed couple,Married or pacsed couple,21294.744,15307.847
Married or pacsed couple,Married or pacsed couple,,28064.385
Married or pacsed couple,Married or pacsed couple,25553.693,34371.711
Married or pacsed couple,Married or pacsed couple,39025.684,59869.273
Married or pacsed couple,Married or pacsed couple,,16768.906
Married or pacsed couple,Married or pacsed couple,35123.117,35604.016
Isolated parent,Cohabitant,20586.197,
Cohabitant,Married or pacsed couple,21162.887,27429.328
Isolated parent,Married or pacsed couple,11348.598,34935.219
Married or pacsed couple,Married or pacsed couple,12773.634,12756.539
Married or pacsed couple,Married or pacsed couple,,13640.851
Married or pacsed couple,Married or pacsed couple,53219.371,60902.57
Isolated parent,Isolated parent,14387.164,17138.447
Married or pacsed couple,Married or pacsed couple,59414.031,
Married or pacsed couple,Married or pacsed couple,11474.892,16059.157
Married or pacsed couple,Married or pacsed couple,25349.402,37739.152
,Married or pacsed couple,,14821.759
Married or pacsed couple,Married or pacsed couple,37464.66,34935.219
Married or pacsed couple,Married or pacsed couple,32824.512,40621.113
Married or pacsed couple,Married or pacsed couple,38493.809,23064.686
Married or pacsed couple,Married or pacsed couple,26541.965,34935.219
Isolated parent,Isolated parent,13198.052,23620.52
Married or pacsed couple,Married or pacsed couple,25553.693,28646.879
Isolated parent,Isolated parent,44876.711,23199.723
Married or pacsed couple,Married or pacsed couple,43708.77,40411.758
Cohabitant,Cohabitant,64621.738,41922.262
Married or pacsed couple,Married or pacsed couple,28796.438,41922.262
Married or pacsed couple,Married or pacsed couple,72986.563,68942.742
Married or pacsed couple,Married or pacsed couple,82109.883,89803.914
Married or pacsed couple,Married or pacsed couple,37210.68,56689.246
Isolated parent,Isolated parent,12872.326,15732.87
Married or pacsed couple,Married or pacsed couple,34342.605,40621.113
Married or pacsed couple,Married or pacsed couple,43708.77,31247.01
Married or pacsed couple,Married or pacsed couple,30947.281,35430.781
Married or pacsed couple,Married or pacsed couple,60822.133,59869.273
Married or pacsed couple,Married or pacsed couple,37464.66,44901.957
Married or pacsed couple,Married or pacsed couple,74780.266,68524.922
Isolated parent,Isolated parent,20584.918,22358.541
Married or pacsed couple,Married or pacsed couple,24134.043,19197.734
,,,
Isolated parent,Isolated parent,10524.938,16236.423
Married or pacsed couple,Married or pacsed couple,40374.008,34645.863
Married or pacsed couple,Married or pacsed couple,42062.445,37739.758
Married or pacsed couple,Isolated parent,106337.75,95233.75
Married or pacsed couple,Married or pacsed couple,53219.371,45064.598
Married or pacsed couple,Married or pacsed couple,76027.672,64167.742
Married or pacsed couple,Married or pacsed couple,82495.828,94737.328
Cohabitant,Isolated parent,37856.199,32472.846
Isolated parent,Isolated parent,16847.439,14756.076
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Married or pacsed couple,Married or pacsed couple,41361.402,49539.137
Isolated parent,Isolated parent,18143.395,19134.807
Isolated parent,Isolated parent,43782.152,30668.797
Married or pacsed couple,Married or pacsed couple,33253.023,17859.154
Married or pacsed couple,Married or pacsed couple,46876.238,39127.449
Isolated parent,Isolated parent,12844.229,14061.154
Married or pacsed couple,Married or pacsed couple,42062.445,29345.584
Married or pacsed couple,Married or pacsed couple,68424.906,89803.914
Married or pacsed couple,Married or pacsed couple,39258.277,44717.082
Isolated parent,Isolated parent,17035.795,14061.154
Married or pacsed couple,Married or pacsed couple,42062.445,38269.613
Married or pacsed couple,Married or pacsed couple,44909.441,43133.113
Married or pacsed couple,Married or pacsed couple,42062.445,19134.807
Married or pacsed couple,Married or pacsed couple,51698.816,50649.559
Married or pacsed couple,Married or pacsed couple,,31559.48
Isolated parent,,43782.152,
Married or pacsed couple,Married or pacsed couple,23193.383,22961.771
Married or pacsed couple,Married or pacsed couple,28392.99,27948.174
Married or pacsed couple,Married or pacsed couple,60822.133,52385.609
Married or pacsed couple,Married or pacsed couple,56083.258,41922.262
Married or pacsed couple,Isolated parent,56083.258,23435.258
Isolated parent,Isolated parent,25150.594,34527.598
Isolated parent,Isolated parent,21993.117,7089.3389
Isolated parent,Isolated parent,24623.18,15356.106
Cohabitant,Cohabitant,46708.25,51428.836
Married or pacsed couple,Married or pacsed couple,35876.215,29284.049
Isolated parent,Isolated parent,38624.129,42052.473
Married or pacsed couple,Isolated parent,26973.344,17967.031
Married or pacsed couple,Married or pacsed couple,37856.199,39546.672
Married or pacsed couple,Married or pacsed couple,8265.0596,17631.961
Married or pacsed couple,Married or pacsed couple,25919.137,12577.947
Married or pacsed couple,Married or pacsed couple,17935.547,16768.906
Married or pacsed couple,Married or pacsed couple,21294.744,12576.679
Married or pacsed couple,Isolated parent,53219.371,11179.398
Married or pacsed couple,Married or pacsed couple,28215.768,27773.729
Married or pacsed couple,Married or pacsed couple,22221.031,24997.609
Married or pacsed couple,Married or pacsed couple,23736.543,15488.469
Married or pacsed couple,Isolated parent,35927.551,20961.131
Married or pacsed couple,Married or pacsed couple,27215.094,16534.365
Married or pacsed couple,Married or pacsed couple,51698.816,64512.781
Isolated parent,Isolated parent,21993.117,24851.613
Married or pacsed couple,Married or pacsed couple,37155.156,44717.082
Married or pacsed couple,Married or pacsed couple,33649.953,23998.633
Married or pacsed couple,Married or pacsed couple,83630.438,74836.594
Married or pacsed couple,Married or pacsed couple,37464.66,35934.063
Married or pacsed couple,Married or pacsed couple,44909.441,38269.613
Married or pacsed couple,Married or pacsed couple,19432.76,30932.965
Married or pacsed couple,Married or pacsed couple,43814.035,27515.602
Married or pacsed couple,Married or pacsed couple,132805.19,182431.72
Married or pacsed couple,Married or pacsed couple,91233.211,71843.125
Married or pacsed couple,Married or pacsed couple,25553.693,41922.262
Married or pacsed couple,Married or pacsed couple,19394.664,20961.131
Married or pacsed couple,Married or pacsed couple,20735.311,22961.771
Married or pacsed couple,Married or pacsed couple,18455.445,19563.725
Married or pacsed couple,Married or pacsed couple,26829.869,15371.496
Married or pacsed couple,Isolated parent,,17860.064
Married or pacsed couple,Married or pacsed couple,16847.439,23620.52
Married or pacsed couple,Married or pacsed couple,46561.781,27948.174
Married or pacsed couple,Married or pacsed couple,13912.566,16768.906
Married or pacsed couple,Married or pacsed couple,39025.684,44901.957
Married or pacsed couple,Married or pacsed couple,22221.031,23435.258
Married or pacsed couple,Married or pacsed couple,13135.961,11810.26
Married or pacsed couple,Married or pacsed couple,27661.705,21339.637
Married or pacsed couple,Married or pacsed couple,14173.005,31891.346
Married or pacsed couple,Married or pacsed couple,164120,142173.91
Married or pacsed couple,Married or pacsed couple,14255.526,12704.207
Married or pacsed couple,Married or pacsed couple,52211.664,35026.48
Cohabitant,Cohabitant,35052.039,53705.027
Married or pacsed couple,Married or pacsed couple,25553.693,24179.209
Married or pacsed couple,Married or pacsed couple,24623.18,24237.424
Married or pacsed couple,Married or pacsed couple,33310.012,48909.313
Married or pacsed couple,Isolated parent,96010.703,74785.789
Married or pacsed couple,Married or pacsed couple,76027.672,70864.914
Married or pacsed couple,Married or pacsed couple,29420.242,36984.277
Married or pacsed couple,Married or pacsed couple,35994.684,31887.701
Isolated parent,Isolated parent,22221.031,26559.957
Married or pacsed couple,Married or pacsed couple,24192.877,32140.4
Married or pacsed couple,Married or pacsed couple,39025.684,34935.219
Married or pacsed couple,Married or pacsed couple,22446.631,12064.567
Isolated parent,Isolated parent,22221.031,26559.957
Married or pacsed couple,Married or pacsed couple,50733.395,52385.609
Married or pacsed couple,Married or pacsed couple,9530.3506,8696.9326
Married or pacsed couple,Cohabitant,82495.828,51428.836
Isolated parent,Isolated parent,39522.363,52713.707
Married or pacsed couple,Married or pacsed couple,51698.816,62862.734
Isolated parent,Isolated parent,19875.094,13974.087
Married or pacsed couple,Married or pacsed couple,68424.906,67352.93
Married or pacsed couple,Married or pacsed couple,,
Married or pacsed couple,Married or pacsed couple,28511.053,35016.699
Married or pacsed couple,Married or pacsed couple,68746.531,42767.527
Married or pacsed couple,Married or pacsed couple,17035.795,20310.557
Married or pacsed couple,Married or pacsed couple,36599.438,43581.441
Married or pacsed couple,Married or pacsed couple,,45731.766
Married or pacsed couple,Married or pacsed couple,51325.078,48909.313
Married or pacsed couple,Married or pacsed couple,21701.984,25153.357
Married or pacsed couple,Married or pacsed couple,64503.945,41811.879
Married or pacsed couple,Married or pacsed couple,28040.258,17283.76
Married or pacsed couple,Married or pacsed couple,55978.98,142374.59
Married or pacsed couple,Married or pacsed couple,21294.744,24237.424
Married or pacsed couple,Married or pacsed couple,56083.258,41922.262
Married or pacsed couple,Married or pacsed couple,71207.133,76333.328
Married or pacsed couple,Married or pacsed couple,26537.467,40396.156
Married or pacsed couple,Married or pacsed couple,22714.393,19134.807
,Isolated parent,,8510.1465
Married or pacsed couple,Married or pacsed couple,38493.809,16583.5
Married or pacsed couple,Married or pacsed couple,28511.053,35718.309
Married or pacsed couple,Isolated parent,15797.715,
Married or pacsed couple,Married or pacsed couple,26453.607,23956.043
Married or pacsed couple,Married or pacsed couple,46830.824,41811.879
Married or pacsed couple,Married or pacsed couple,61277.035,67669.516
Isolated parent,Married or pacsed couple,24813.418,27118.004
Married or pacsed couple,Married or pacsed couple,36684.141,32140.4
Married or pacsed couple,Married or pacsed couple,8405.0068,8273.332
Married or pacsed couple,Married or pacsed couple,,62175.367
Married or pacsed couple,Isolated parent,33649.953,28864.754
Married or pacsed couple,Married or pacsed couple,82622.57,92497.953
Married or pacsed couple,Married or pacsed couple,20633.814,9530.3379
Married or pacsed couple,Married or pacsed couple,30540.01,27060.705
Married or pacsed couple,Married or pacsed couple,64961.934,63609.352
Married or pacsed couple,Married or pacsed couple,24134.043,33167
Married or pacsed couple,Married or pacsed couple,26537.467,26400.283
Married or pacsed couple,Married or pacsed couple,22221.031,28122.309
Married or pacsed couple,Married or pacsed couple,13467.979,27132.158
Married or pacsed couple,Isolated parent,18455.445,12940.006
Married or pacsed couple,Married or pacsed couple,15551.482,20006.045
Married or pacsed couple,Married or pacsed couple,8251.6748,21692.191
Married or pacsed couple,Married or pacsed couple,23808.246,23755.947
Isolated parent,Isolated parent,,42531.316
Married or pacsed couple,Married or pacsed couple,9937.5469,25071.053
Married or pacsed couple,Married or pacsed couple,46303.715,58372.539
Isolated parent,Isolated parent,15712.642,17675.979
Married or pacsed couple,Married or pacsed couple,64961.934,73083.086
Married or pacsed couple,Married or pacsed couple,,
Isolated parent,Isolated parent,12025.738,11837.338
Married or pacsed couple,Married or pacsed couple,42147.742,43405.219
Married or pacsed couple,Married or pacsed couple,16210.736,12539.021
Married or pacsed couple,Married or pacsed couple,34704.582,29525.65
Married or pacsed couple,Married or pacsed couple,42062.445,37739.758
Married or pacsed couple,Married or pacsed couple,68746.531,20322.498
Married or pacsed couple,Married or pacsed couple,18143.395,23799.797
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Married or pacsed couple,Married or pacsed couple,23996.459,17715.391
Married or pacsed couple,Married or pacsed couple,39025.684,21460.064
Married or pacsed couple,Married or pacsed couple,28098.492,35934.063
Married or pacsed couple,Married or pacsed couple,43626.313,52808.344
Married or pacsed couple,Married or pacsed couple,51877.012,48909.313
Married or pacsed couple,Married or pacsed couple,20633.814,29345.584
Married or pacsed couple,Isolated parent,17035.795,13801.474
Married or pacsed couple,Married or pacsed couple,52211.664,50649.559
Married or pacsed couple,Married or pacsed couple,35123.117,39839.938
Married or pacsed couple,Married or pacsed couple,61590.09,52555.66
Isolated parent,Isolated parent,19601.023,31191.973
Married or pacsed couple,Married or pacsed couple,12776.847,9394.8438
Isolated parent,Isolated parent,18327.598,20310.557
Married or pacsed couple,Married or pacsed couple,15616.146,13889.217
Married or pacsed couple,Married or pacsed couple,28098.492,25153.357
Married or pacsed couple,Married or pacsed couple,,32587.785
Isolated parent,Cohabitant,32836.617,27948.174
Married or pacsed couple,Married or pacsed couple,44462.66,46254.32
Isolated parent,Isolated parent,11124.852,12628.33
Married or pacsed couple,Married or pacsed couple,60913.605,89803.914
Married or pacsed couple,Married or pacsed couple,22058.113,
Married or pacsed couple,Married or pacsed couple,64961.934,34312.914
Married or pacsed couple,Married or pacsed couple,79068.773,86810.438
Married or pacsed couple,Married or pacsed couple,,125376.13
Married or pacsed couple,Married or pacsed couple,,34312.914
Married or pacsed couple,Married or pacsed couple,,70346.391
Married or pacsed couple,Married or pacsed couple,51292.195,41811.879
Married or pacsed couple,Married or pacsed couple,36981.316,30601.158
Isolated parent,Isolated parent,14662.079,50447.383
Married or pacsed couple,Married or pacsed couple,42062.445,56842.391
Married or pacsed couple,Isolated parent,19046.598,17185.855
Isolated parent,Isolated parent,20160.357,25256.66
Married or pacsed couple,Married or pacsed couple,28234.674,31112.922
Married or pacsed couple,Married or pacsed couple,37464.66,37663.551
Married or pacsed couple,Married or pacsed couple,46830.824,52385.609
Married or pacsed couple,Married or pacsed couple,76027.672,49392.148
Married or pacsed couple,Married or pacsed couple,37418.555,44018.379
Married or pacsed couple,Married or pacsed couple,29659.521,35934.063
Married or pacsed couple,Married or pacsed couple,60822.133,56875.809
Married or pacsed couple,Isolated parent,24666.063,11947.845
Married or pacsed couple,Married or pacsed couple,,19216.912
Married or pacsed couple,Married or pacsed couple,60822.133,62264.039
Married or pacsed couple,Married or pacsed couple,27893.064,20961.131
Cohabitant,Married or pacsed couple,32247.871,35430.781
Married or pacsed couple,Married or pacsed couple,35876.215,31870.115
Isolated parent,Isolated parent,15332.215,23755.947
Married or pacsed couple,Married or pacsed couple,42062.445,63385.547
Married or pacsed couple,Married or pacsed couple,63863.242,64359.469
Married or pacsed couple,Married or pacsed couple,46303.715,59869.273
Married or pacsed couple,Married or pacsed couple,51906.863,67669.516
Married or pacsed couple,Married or pacsed couple,42147.742,40396.156
Married or pacsed couple,Married or pacsed couple,51175.977,51428.836
Married or pacsed couple,Married or pacsed couple,43814.035,59869.273
Married or pacsed couple,Married or pacsed couple,28392.99,33167
Married or pacsed couple,Married or pacsed couple,49952.875,47895.418
Married or pacsed couple,Married or pacsed couple,43708.77,30756.559
Married or pacsed couple,Married or pacsed couple,47252.297,52385.609
Married or pacsed couple,Married or pacsed couple,31220.549,213260.86
Isolated parent,Isolated parent,14196.495,11810.26
Married or pacsed couple,Married or pacsed couple,46268.688,37253.723
Married or pacsed couple,Married or pacsed couple,57781.027,74836.594
Married or pacsed couple,Married or pacsed couple,31220.549,40621.113
Married or pacsed couple,Married or pacsed couple,22221.031,8382.6738
Married or pacsed couple,Married or pacsed couple,33791.469,33187.809
Married or pacsed couple,Married or pacsed couple,31232.291,23755.947
Married or pacsed couple,Married or pacsed couple,45269.797,43405.219
Cohabitant,Cohabitant,52211.664,39058.762
Isolated parent,Isolated parent,32860.145,34371.711
Married or pacsed couple,Married or pacsed couple,13912.566,15371.496
Isolated parent,Married or pacsed couple,35991.539,27618.715
Married or pacsed couple,Married or pacsed couple,72986.563,71729.695
Married or pacsed couple,Married or pacsed couple,47604.438,62175.367
Married or pacsed couple,Married or pacsed couple,49072.848,26550.77
Married or pacsed couple,Married or pacsed couple,50471.273,49392.148
Married or pacsed couple,Married or pacsed couple,,54291.766
Married or pacsed couple,Married or pacsed couple,57020.754,59869.273
Married or pacsed couple,Married or pacsed couple,57781.027,61988.402
Cohabitant,Cohabitant,20396.99,26513.969
Isolated parent,Cohabitant,32077.76,32769.977
Married or pacsed couple,Married or pacsed couple,31232.291,37739.758
Isolated parent,Married or pacsed couple,16494.838,15526.633
Married or pacsed couple,Married or pacsed couple,28392.99,37739.758
Married or pacsed couple,Married or pacsed couple,51123.652,61366.004
Married or pacsed couple,Married or pacsed couple,79068.773,74184.68
Isolated parent,Isolated parent,35929.422,36080.938
Married or pacsed couple,Married or pacsed couple,29349.139,23745.873
Married or pacsed couple,Married or pacsed couple,60213.914,74836.594
Isolated parent,Cohabitant,28458.4,35718.309
Married or pacsed couple,Married or pacsed couple,42147.742,39058.762
Married or pacsed couple,Married or pacsed couple,116869.1,130308.36
Married or pacsed couple,Cohabitant,,20831.34
Married or pacsed couple,Isolated parent,43659.359,51704.121
Married or pacsed couple,Married or pacsed couple,43814.035,52385.609
Married or pacsed couple,Married or pacsed couple,23825.877,18040.469
Married or pacsed couple,Married or pacsed couple,31220.549,6249.4028
Married or pacsed couple,Married or pacsed couple,40586.711,26559.957
Married or pacsed couple,Married or pacsed couple,25395.465,12844.933
Married or pacsed couple,Isolated parent,,16430.625
Married or pacsed couple,Married or pacsed couple,82495.828,61562.668
Married or pacsed couple,Isolated parent,9561.1348,14032.192
Married or pacsed couple,Married or pacsed couple,27413.104,39058.762
Married or pacsed couple,Married or pacsed couple,51698.816,50888.879
Married or pacsed couple,Married or pacsed couple,59301.582,41625.527
Isolated parent,Isolated parent,30540.01,19865.611
Married or pacsed couple,Married or pacsed couple,51906.863,49603.094
Married or pacsed couple,Married or pacsed couple,49072.848,54135.617
Married or pacsed couple,Married or pacsed couple,130785.74,160921
Married or pacsed couple,Married or pacsed couple,17638.852,17859.154
Married or pacsed couple,Married or pacsed couple,103119.8,156370.03
Married or pacsed couple,Married or pacsed couple,,130308.36
Married or pacsed couple,Married or pacsed couple,32247.871,34935.219
Married or pacsed couple,Married or pacsed couple,79745.977,60902.57
Married or pacsed couple,Married or pacsed couple,64503.945,79326.789
Married or pacsed couple,Married or pacsed couple,46830.824,61366.004
Married or pacsed couple,Married or pacsed couple,132419.22,130476.88
Isolated parent,Cohabitant,9177.5684,9033.7891
Married or pacsed couple,Married or pacsed couple,,104771.22
Isolated parent,Cohabitant,19046.598,15623.505
Married or pacsed couple,Married or pacsed couple,61871.879,54135.617
Married or pacsed couple,Married or pacsed couple,71207.133,143367.19
Married or pacsed couple,Married or pacsed couple,39025.684,32769.977
Married or pacsed couple,Married or pacsed couple,68424.906,55379.078
Married or pacsed couple,Married or pacsed couple,49952.875,52385.609
Married or pacsed couple,Married or pacsed couple,25856.184,34837.766
Married or pacsed couple,Married or pacsed couple,66448.18,65856.195
Married or pacsed couple,Married or pacsed couple,48730.887,46398.688
Married or pacsed couple,Married or pacsed couple,71496.391,79850.031
Married or pacsed couple,Married or pacsed couple,31220.549,40711.105
Married or pacsed couple,Married or pacsed couple,31102.965,21686.115
Cohabitant,Cohabitant,60822.133,58195.789
Married or pacsed couple,Married or pacsed couple,60822.133,67352.93
Married or pacsed couple,Married or pacsed couple,56083.258,60902.57
Married or pacsed couple,Married or pacsed couple,113696.88,41662.68
Married or pacsed couple,Married or pacsed couple,17626.936,48909.313
Married or pacsed couple,Married or pacsed couple,119781.36,120847.82
Married or pacsed couple,Married or pacsed couple,49949.285,45064.598
Married or pacsed couple,Married or pacsed couple,51513.91,39058.762
Married or pacsed couple,Married or pacsed couple,42616.051,40396.156
Married or pacsed couple,Married or pacsed couple,32781.574,32140.4
Married or pacsed couple,Married or pacsed couple,46830.824,59869.273
Married or pacsed couple,Married or pacsed couple,55253.332,72123.422
Married or pacsed couple,Married or pacsed couple,64503.945,74836.594
Isolated parent,Isolated parent,46333.102,62108.969
Married or pacsed couple,Cohabitant,35052.039,13974.087
Isolated parent,Married or pacsed couple,,40930.102
Married or pacsed couple,Married or pacsed couple,29321.961,14172.312
Married or pacsed couple,Married or pacsed couple,42147.742,40396.156
Married or pacsed couple,Married or pacsed couple,39258.277,73664.281
Married or pacsed couple,Married or pacsed couple,23825.877,19004.758
Married or pacsed couple,Married or pacsed couple,36949.316,17515.99
Married or pacsed couple,Married or pacsed couple,43708.77,44901.957
Married or pacsed couple,Married or pacsed couple,43464.523,50075.441
Cohabitant,Isolated parent,53279.09,27948.174
Married or pacsed couple,Isolated parent,74836.711,57968.367
Married or pacsed couple,Married or pacsed couple,71207.133,65970.391
Married or pacsed couple,Married or pacsed couple,51325.078,47336.059
Isolated parent,Cohabitant,87019.43,59869.273
Married or pacsed couple,Married or pacsed couple,32395.219,35430.781
Married or pacsed couple,Married or pacsed couple,26947.066,27060.705
Married or pacsed couple,Married or pacsed couple,55978.98,62862.734
Married or pacsed couple,Married or pacsed couple,,26400.283
Married or pacsed couple,Married or pacsed couple,37324.008,47336.059
Married or pacsed couple,Isolated parent,55692.438,40457.172
Married or pacsed couple,Cohabitant,,14431.468
Married or pacsed couple,Married or pacsed couple,55978.98,49539.137
Isolated parent,Isolated parent,21294.744,23755.947
Married or pacsed couple,Isolated parent,28601.164,24908.021
Married or pacsed couple,Married or pacsed couple,22428.43,96083.148
Married or pacsed couple,Cohabitant,53219.371,82320.25
Married or pacsed couple,Married or pacsed couple,67360.516,71843.125
Married or pacsed couple,Married or pacsed couple,57740.707,27668.689
Isolated parent,Isolated parent,8978.6523,26513.969
Isolated parent,Isolated parent,19439.352,34569.996
Married or pacsed couple,Married or pacsed couple,78317.492,78002.023
Married or pacsed couple,Married or pacsed couple,35929.422,27962.727
Married or pacsed couple,Married or pacsed couple,38493.809,34442.652
Married or pacsed couple,Married or pacsed couple,23305.902,26788.73
Married or pacsed couple,Married or pacsed couple,23808.246,31247.01
